Ordem Temporal	diam. final (mm)	Turno
1	20,00	1
2	20,01	1
3	20,01	1
4	20,00	1
5	20,00	1
6	19,99	1
7	20,00	1
8	20,02	1
9	20,01	1
10	20,00	1
11	20,01	1
12	20,00	1
13	20,00	1
14	19,99	1
15	20,01	1
16	20,01	2
17	20,01	2
18	19,99	2
19	19,98	2
20	20,00	2
21	20,00	2
22	19,99	2
23	19,99	2
24	20,00	2
25	20,02	2
26	19,99	2
27	19,99	2
28	20,00	2
29	19,99	2
30	19,99	2
31	20,00	2
32	20,01	3
33	20,01	3
34	20,01	3
35	20,00	3
36	20,00	3
37	19,99	3
38	20,02	3
39	19,99	3
40	19,99	3
41	20,01	3
42	20,01	3
43	20,00	3
44	19,99	3
45	20,00	3
46	19,99	1
47	20,01	1
48	20,01	1
49	20,01	1
50	19,98	1
51	19,99	1
52	20,00	1
53	20,00	1
54	20,01	1
55	20,00	1
56	19,99	1
57	19,99	1
58	19,99	1
59	19,99	1
60	19,99	1
61	19,97	2
62	19,97	2
63	19,97	2
64	19,97	2
65	19,97	2
66	19,98	2
67	19,97	2
68	19,98	2
69	19,96	2
70	19,96	2
71	19,98	2
72	19,98	2
73	19,99	2
74	19,96	2
75	19,96	2
76	19,97	2
77	19,97	2
78	19,97	2
79	19,97	2
80	19,97	2
81	19,97	3
82	19,98	3
83	19,98	3
84	19,97	3
85	19,97	3
86	19,97	3
87	19,98	3
88	19,97	3
89	19,97	3
90	19,98	3
91	19,97	3
92	19,97	3
93	19,96	3
94	19,96	3
95	19,95	3
96	19,97	3
97	19,97	3
98	19,96	3
99	19,96	3
100	19,95	3
