"Ordem.Temporal","diam..final..mm.","Turno","V","Aux"
1,20,1,"X1","X1_1"
2,20.01,1,"X2","X2_1"
3,20.01,1,"X3","X3_1"
4,20,1,"X4","X4_1"
5,20,1,"X5","X5_1"
6,19.99,1,"X1","X1_2"
7,20,1,"X2","X2_2"
8,20.02,1,"X3","X3_2"
9,20.01,1,"X4","X4_2"
10,20,1,"X5","X5_2"
11,20.01,1,"X1","X1_3"
12,20,1,"X2","X2_3"
13,20,1,"X3","X3_3"
14,19.99,1,"X4","X4_3"
15,20.01,1,"X5","X5_3"
16,20.01,2,"X1","X1_4"
17,20.01,2,"X2","X2_4"
18,19.99,2,"X3","X3_4"
19,19.98,2,"X4","X4_4"
20,20,2,"X5","X5_4"
21,20,2,"X1","X1_5"
22,19.99,2,"X2","X2_5"
23,19.99,2,"X3","X3_5"
24,20,2,"X4","X4_5"
25,20.02,2,"X5","X5_5"
26,19.99,2,"X1","X1_6"
27,19.99,2,"X2","X2_6"
28,20,2,"X3","X3_6"
29,19.99,2,"X4","X4_6"
30,19.99,2,"X5","X5_6"
31,20,2,"X1","X1_7"
32,20.01,3,"X2","X2_7"
33,20.01,3,"X3","X3_7"
34,20.01,3,"X4","X4_7"
35,20,3,"X5","X5_7"
36,20,3,"X1","X1_8"
37,19.99,3,"X2","X2_8"
38,20.02,3,"X3","X3_8"
39,19.99,3,"X4","X4_8"
40,19.99,3,"X5","X5_8"
41,20.01,3,"X1","X1_9"
42,20.01,3,"X2","X2_9"
43,20,3,"X3","X3_9"
44,19.99,3,"X4","X4_9"
45,20,3,"X5","X5_9"
46,19.99,1,"X1","X1_10"
47,20.01,1,"X2","X2_10"
48,20.01,1,"X3","X3_10"
49,20.01,1,"X4","X4_10"
50,19.98,1,"X5","X5_10"
51,19.99,1,"X1","X1_11"
52,20,1,"X2","X2_11"
53,20,1,"X3","X3_11"
54,20.01,1,"X4","X4_11"
55,20,1,"X5","X5_11"
56,19.99,1,"X1","X1_12"
57,19.99,1,"X2","X2_12"
58,19.99,1,"X3","X3_12"
59,19.99,1,"X4","X4_12"
60,19.99,1,"X5","X5_12"
61,19.97,2,"X1","X1_13"
62,19.97,2,"X2","X2_13"
63,19.97,2,"X3","X3_13"
64,19.97,2,"X4","X4_13"
65,19.97,2,"X5","X5_13"
66,19.98,2,"X1","X1_14"
67,19.97,2,"X2","X2_14"
68,19.98,2,"X3","X3_14"
69,19.96,2,"X4","X4_14"
70,19.96,2,"X5","X5_14"
71,19.98,2,"X1","X1_15"
72,19.98,2,"X2","X2_15"
73,19.99,2,"X3","X3_15"
74,19.96,2,"X4","X4_15"
75,19.96,2,"X5","X5_15"
76,19.97,2,"X1","X1_16"
77,19.97,2,"X2","X2_16"
78,19.97,2,"X3","X3_16"
79,19.97,2,"X4","X4_16"
80,19.97,2,"X5","X5_16"
81,19.97,3,"X1","X1_17"
82,19.98,3,"X2","X2_17"
83,19.98,3,"X3","X3_17"
84,19.97,3,"X4","X4_17"
85,19.97,3,"X5","X5_17"
86,19.97,3,"X1","X1_18"
87,19.98,3,"X2","X2_18"
88,19.97,3,"X3","X3_18"
89,19.97,3,"X4","X4_18"
90,19.98,3,"X5","X5_18"
91,19.97,3,"X1","X1_19"
92,19.97,3,"X2","X2_19"
93,19.96,3,"X3","X3_19"
94,19.96,3,"X4","X4_19"
95,19.95,3,"X5","X5_19"
96,19.97,3,"X1","X1_20"
97,19.97,3,"X2","X2_20"
98,19.96,3,"X3","X3_20"
99,19.96,3,"X4","X4_20"
100,19.95,3,"X5","X5_20"
