Amostra	X1	X2	X3	X4	X5	Turno
1	20	20,01	20,01	20	20	1
2	19,99	20	20,02	20,01	20	1
3	20,01	20	20	19,99	20,01	1
4	20,01	20,01	19,99	19,98	20	2
5	20	19,99	19,99	20	20,02	2
6	19,99	19,99	20	19,99	19,99	2/3
7	20	20,01	20,01	20,01	20	3
8	20	19,99	20,02	19,99	19,99	3
9	20,01	20,01	20	19,99	20	1
10	19,99	20,01	20,01	20,01	19,98	1
11	19,99	20	20	20,01	20	1
12	19,99	19,99	19,99	19,99	19,99	1
13	19,97	19,97	19,97	19,97	19,97	2
14	19,98	19,97	19,98	19,96	19,96	2
15	19,98	19,98	19,99	19,96	19,96	2
16	19,97	19,97	19,97	19,97	19,97	2
17	19,97	19,98	19,98	19,97	19,97	3
18	19,97	19,98	19,97	19,97	19,98	3
19	19,97	19,97	19,96	19,96	19,95	3
20	19,97	19,97	19,96	19,96	19,95	3
