Ano/Mês Compet,Valor_despendido
..Dezembro/1996,"581120096,9"
..Janeiro/1997,"576253308,4"
..Fevereiro/1997,590145326
..Março/1997,"612930879,6"
..Abril/1997,"622585798,7"
..Maio/1997,"625911797,8"
..Junho/1997,"631718409,6"
..Julho/1997,"635725823,1"
..Agosto/1997,"634323911,1"
..Setembro/1997,632910861
..Outubro/1997,"633605651,4"
..Novembro/1997,"629273588,4"
..Dezembro/1997,"636763129,8"
..Janeiro/1998,"595025708,6"
..Fevereiro/1998,"627514431,9"
..Março/1998,637077611
..Abril/1998,"655583937,6"
..Maio/1998,"675937629,4"
..Junho/1998,"782062563,3"
..Julho/1998,"783417713,4"
..Agosto/1998,"803131942,1"
..Setembro/1998,"823203853,9"
..Outubro/1998,825227631
..Novembro/1998,"825483436,8"
..Dezembro/1998,"799113518,2"
..Janeiro/1999,"815843443,1"
..Fevereiro/1999,"811402313,2"
..Março/1999,"837780609,7"
..Abril/1999,"863733376,3"
..Maio/1999,"899007322,6"
..Junho/1999,891503779
..Julho/1999,917225759
..Agosto/1999,"931526023,9"
..Setembro/1999,"933118939,6"
..Outubro/1999,1003414464
..Novembro/1999,"983977570,1"
..Dezembro/1999,1017093973
..Janeiro/2000,1014917581
..Fevereiro/2000,1005212688
..Março/2000,1024547438
..Abril/2000,1041828029
..Maio/2000,1043791486
..Junho/2000,1081401354
..Julho/2000,1034492337
..Agosto/2000,1066314543
..Setembro/2000,1113564206
..Outubro/2000,1123097102
..Novembro/2000,"721201952,3"
..Dezembro/2000,1144356353
..Janeiro/2001,1062394747
..Fevereiro/2001,1128024625
..Março/2001,1157924659
..Abril/2001,1184586368
..Maio/2001,1183185628
..Junho/2001,1223891754
..Julho/2001,1193999734
..Agosto/2001,1224622218
..Setembro/2001,1221385566
..Outubro/2001,1293925006
..Novembro/2001,1277450731
..Dezembro/2001,1284451222
..Janeiro/2002,1273568505
..Fevereiro/2002,1275015080
..Março/2002,1303231968
..Abril/2002,1284641075
..Maio/2002,1336179028
..Junho/2002,1285190735
..Julho/2002,1285179346
..Agosto/2002,1362909081
..Setembro/2002,1317208864
..Outubro/2002,1322295403
..Novembro/2002,1400218137
..Dezembro/2002,1361679174
..Janeiro/2003,1335530916
..Fevereiro/2003,1326004917
..Março/2003,1350978415
..Abril/2003,1373716517
..Maio/2003,1457214009
..Junho/2003,1459750689
..Julho/2003,1480321036
..Agosto/2003,1474396039
..Setembro/2003,1544047014
..Outubro/2003,1548653955
..Novembro/2003,1533217374
..Dezembro/2003,1530911323
..Janeiro/2004,1553577134
..Fevereiro/2004,1511620128
..Março/2004,1510377213
..Abril/2004,1551516950
..Maio/2004,1599277664
..Junho/2004,1598928265
..Julho/2004,1652525137
..Agosto/2004,1646400857
..Setembro/2004,1665187382
..Outubro/2004,1682235200
..Novembro/2004,1731817485
..Dezembro/2004,1708861195
..Janeiro/2005,1584944235
..Fevereiro/2005,1700410866
..Março/2005,1735450707
..Abril/2005,1740434271
..Maio/2005,1738068628
..Junho/2005,1753935099
..Julho/2005,1815948852
..Agosto/2005,1766979521
..Setembro/2005,1860508952
..Outubro/2005,1692902432
..Novembro/2005,1912023397
..Dezembro/2005,1939088436
..Janeiro/2006,1926434960
..Fevereiro/2006,1908022889
..Março/2006,1919507450
..Abril/2006,1904596756
..Maio/2006,1989189781
..Junho/2006,1976596878
..Julho/2006,2012825546
..Agosto/2006,2074124129
..Setembro/2006,2176251288
..Outubro/2006,2011150308
..Novembro/2006,1883833782
..Dezembro/2006,"116984909,8"
