Data;1465 - Índice de volume de vendas no varejo - Total - Ceará - Índice
01/2000;37,54
02/2000;35,29
03/2000;34,29
04/2000;35,46
05/2000;38,70
06/2000;36,95
07/2000;39,95
08/2000;40,95
09/2000;37,62
10/2000;38,87
11/2000;40,03
12/2000;56,85
01/2001;38,78
02/2001;33,79
03/2001;36,12
04/2001;34,12
05/2001;39,20
06/2001;36,12
07/2001;38,87
08/2001;40,53
09/2001;36,20
10/2001;39,28
11/2001;38,95
12/2001;54,93
01/2002;39,12
02/2002;34,04
03/2002;36,70
04/2002;36,29
05/2002;41,86
06/2002;37,04
07/2002;41,53
08/2002;40,87
09/2002;37,37
10/2002;39,70
11/2002;39,45
12/2002;53,77
01/2003;36,45
02/2003;32,63
03/2003;31,71
04/2003;33,87
05/2003;36,45
06/2003;34,21
07/2003;38,12
08/2003;38,04
09/2003;35,04
10/2003;38,45
11/2003;38,87
12/2003;55,51
01/2004;37,54
02/2004;34,12
03/2004;36,70
04/2004;37,20
05/2004;39,45
06/2004;37,87
07/2004;41,95
08/2004;40,03
09/2004;37,95
10/2004;40,95
11/2004;41,53
12/2004;62,51
01/2005;41,20
02/2005;37,54
03/2005;41,36
04/2005;42,45
05/2005;45,86
06/2005;46,03
07/2005;48,52
08/2005;49,35
09/2005;46,61
10/2005;48,27
11/2005;49,77
12/2005;69,25
01/2006;48,77
02/2006;41,86
03/2006;45,03
04/2006;44,36
05/2006;50,69
06/2006;48,52
07/2006;50,10
08/2006;52,02
09/2006;51,27
10/2006;54,02
11/2006;56,60
12/2006;76,90
01/2007;55,18
02/2007;48,44
03/2007;52,85
04/2007;50,77
05/2007;56,68
06/2007;54,18
07/2007;55,68
08/2007;57,59
09/2007;54,68
10/2007;59,76
11/2007;59,59
12/2007;80,82
01/2008;60,42
02/2008;50,77
03/2008;55,10
04/2008;56,01
05/2008;62,42
06/2008;58,09
07/2008;62,01
08/2008;62,75
09/2008;61,42
10/2008;62,75
11/2008;63,42
12/2008;85,98
01/2009;63,00
02/2009;55,10
03/2009;60,84
04/2009;60,67
05/2009;69,25
06/2009;64,42
07/2009;68,33
08/2009;67,42
09/2009;65,34
10/2009;71,58
11/2009;68,50
12/2009;96,96
01/2010;71,33
02/2010;65,17
03/2010;73,16
04/2010;70,91
05/2010;76,07
06/2010;72,24
07/2010;77,07
08/2010;77,40
09/2010;75,07
10/2010;78,40
11/2010;80,32
12/2010;108,11
01/2011;80,07
02/2011;73,16
03/2011;79,90
04/2011;76,82
05/2011;81,23
06/2011;79,40
07/2011;84,14
08/2011;83,73
09/2011;81,15
10/2011;83,90
11/2011;82,73
12/2011;112,69
01/2012;83,40
02/2012;80,57
03/2012;84,98
04/2012;83,56
05/2012;89,06
06/2012;88,06
07/2012;93,63
08/2012;94,30
09/2012;89,64
10/2012;94,71
11/2012;93,63
12/2012;119,27
01/2013;91,64
02/2013;79,07
03/2013;89,55
04/2013;87,47
05/2013;93,72
06/2013;87,64
07/2013;96,05
08/2013;97,38
09/2013;92,63
10/2013;96,96
11/2013;98,63
12/2013;125,01
01/2014;99,21
02/2014;90,47
03/2014;93,88
04/2014;95,46
05/2014;102,87
06/2014;93,72
07/2014;98,38
08/2014;98,38
09/2014;96,38
10/2014;100,21
11/2014;103,37
12/2014;127,67
01/2015;101,12
02/2015;85,14
03/2015;93,97
04/2015;91,89
05/2015;97,54
06/2015;89,97
07/2015;95,30
08/2015;93,05
09/2015;89,06
10/2015;96,05
11/2015;95,80
12/2015;119,68
01/2016;90,80
02/2016;82,56
03/2016;89,80
04/2016;86,97
05/2016;87,06
06/2016;84,56
07/2016;89,22
08/2016;86,81
09/2016;82,81
10/2016;86,97
11/2016;91,22
12/2016;112,36
01/2017;86,37
02/2017;75,15
03/2017;83,41
04/2017;80,10
05/2017;87,19
06/2017;83,90
07/2017;88,18
08/2017;86,85
09/2017;85,83
10/2017;86,80
11/2017;93,74
12/2017;113,38
01/2018;88,16
02/2018;77,14
03/2018;88,22
04/2018;83,61
05/2018;90,07
06/2018;86,47
07/2018;89,14
08/2018;89,50
09/2018;85,42
10/2018;87,28
11/2018;96,12
12/2018;111,98
01/2019;87,41
02/2019;78,98
03/2019;83,25
04/2019;83,75
05/2019;90,58
06/2019;84,01
07/2019;87,93
08/2019;86,59
09/2019;83,53
10/2019;89,00
11/2019;93,67
12/2019;108,84
01/2020;85,47
02/2020;75,34
03/2020;70,11
04/2020;54,62
05/2020;62,75
06/2020;76,87
07/2020;89,41
08/2020;93,44
09/2020;87,20
10/2020;91,99
11/2020;97,01
12/2020;112,49
01/2021;81,13
02/2021;71,03
03/2021;64,79
04/2021;68,47
05/2021;80,98
06/2021;79,52
07/2021;83,34
08/2021;82,42
09/2021;77,87
10/2021;82,15
11/2021;89,43
12/2021;102,57
01/2022;77,49
02/2022;71,95
03/2022;77,60
04/2022;80,89
05/2022;85,84
06/2022;81,63
07/2022;84,54
08/2022;84,51
09/2022;80,08
10/2022;84,54
11/2022;90,78
12/2022;105,18
Fonte;IBGE
